pool	chain	project	symbol	tvl	apyBase	apyReward	apy	cnt	outlier	cls	prob	corr.apy.tvl	corr.apy.tvl.ma30
8f1b2763-50d6-4b27-8a4c-cefb17e91794	Astar	cbridge	USDC	811428	7.20797	0.0	7.20797	128	False	Down	53.0	-0.5753360091169014	-0.6493179738425653
cd433c08-70b5-4c4a-9600-9bf27753786a	Ethereum	iron-bank	USDT	770501	2.1023	0.0	2.1023	56	False	Stable/Up	91.0	-0.4216848895892642	-0.7878147085949356
344b5cd9-55f6-4857-b2f1-25f4d284c2a3	Binance	dot-dot-finance	maieps	769438	0.00631	6.02691	6.03322	40	False	Stable/Up	60.0	0.9227282388019875	0.8094989091884605
51f44246-7dab-4a99-a693-052cd036b9ac	Fantom	iron-bank	USDC	764370	2.9571	0.0	2.9571	56	False	Stable/Up	54.0	-0.8490273871772013	-0.8350938799955998
32b85799-eaf0-40fd-a527-eb0f138c4f0c	Avalanche	platypus-finance	MONEY	764065	0.0	7.23524	7.23524	20	False	Stable/Up	70.0	-0.3408186327090179	-0.3408186327090179
7b8263c1-6633-4056-b784-9795dea04f15	Avalanche	vector-finance	DAIe	736988	7.71627	0.0	7.71627	94	False	Down	63.0	-0.10886662276316139	-0.03188662234787822
e2560584-b56b-4593-a56c-71fbfb2c160a	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
3c441183-284c-4ae7-a3b6-f5dbcf8125cd	Solana	solend	USDC	736138	1.0677	0.0	1.0677	118	False	Stable/Up	67.0	-0.9183986584023971	-0.11388549234423267
cc8777a7-01f1-4830-9a77-7efc9e1e30f2	Binance	alpaca-finance	USDT	691124	1.02383	0.0	1.02383	119	False	Stable/Up	78.0	0.5709240647370564	-0.3630474944769497
849dcce6-9dbe-49e1-8378-ceb7458a7655	Polygon	dforce	USDC	679763	4.15183	0.0	4.15183	64	False	Stable/Up	57.99999999999999	-0.38811987589790675	-0.10269345371309581
365853e8-6ed1-4212-a77b-24d48a188327	Avalanche	iron-bank	USDC	671057	3.1411	0.0	3.1411	56	False	Stable/Up	69.0	-0.49395513598528007	-0.6785906499155736
c0a9a8c2-bfd9-4f61-9cf3-ae56ddee8eab	Optimism	tarot	USDC	656781	4.52203	0.0	4.52203	6	False	Down	50.0	-0.5131631428858076	-0.5131631428858076
96dd4deb-5832-4343-a151-4ad9c2f8600f	Gnosis	hop-protocol	USDT	653738	0.01159	11.31509	11.32668	38	False	Down	87.0	-0.6387535284628325	-0.6863692802076916
5257dd93-149b-403a-867f-a961c71fb812	Avalanche	trader-joe	USDC	644113	1.87465	0.0	1.87465	28	False	Stable/Up	82.0	-0.835840989068541	-0.835840989068541
6cb2d616-f677-4acf-bbb1-478586214b99	Fantom	sturdy	USDC	642853	0.77232	0.0	0.77232	119	False	Stable/Up	87.0	0.3593096731860533	0.684358515205761
f6f2ae4b-5cfd-4249-84db-91a31d0614ba	Optimism	dforce	USDT	627661	4.09185	0.0	4.09185	64	False	Stable/Up	75.0	-0.7573895721039198	-0.3917802792205155
08c8b6ba-ce60-4154-aaf7-c6c96099ae2d	Solana	solend	USDC	625481	0.06916	0.0	0.06916	118	False	Stable/Up	85.0	-0.8270735900626366	-0.9853890916208347
bb235788-a360-4e29-ab59-e33e884b0050	Optimism	hop-protocol	DAI	620307	0.71881	0.0	0.71881	38	False	Stable/Up	74.0	0.010827923989459181	0.24698874683865094
c665f064-7585-4f32-a98a-8a2dbca0c6bc	Polygon	beefy	2eurt	619676	5.89687	0.0	5.89687	42	False	Down	56.99999999999999	-0.10275598590358426	-0.17661085000941265
c4da0dbb-7120-4475-ad59-fd1811428dbd	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
c3c980ba-11a0-4e4e-93e1-69957364c3c4	Polygon	tetu	DAI	585083	0.0	4.19462	4.19462	26	False	Down	54.0	-0.014317619076871898	-0.014317619076871898
905730f7-04b6-4deb-8e59-707d3d457f6b	Celo	moola-market	cUSD	582898	11.819	0.0	11.819	53	False	Down	67.0	-0.9137328968769974	-0.9189364118495119
ae4bdf7a-92a9-4a1b-859a-6811578866fc	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
51752c3a-a277-4c54-b07f-5023bc476b71	Ethereum	truefi	BUSD	553178	7.26921	4.60932	11.87853	26	True	Stable/Up	63.0	0.6390940712409008	0.6390940712409008
8ca17fc6-018b-46d4-9bfb-f2b5e981a0fb	Ethereum	dforce	USDT	548084	5.59384	0.0	5.59384	64	False	Down	73.0	-0.8669337975321373	-0.8794909759150764
4c2cde03-b517-4fad-b8b9-237d99edefdf	Avalanche	yeti-finance	qiUSDC	545055	2.18847	0.0	2.18847	23	False	Stable/Up	67.0	-0.5226976175020502	-0.5226976175020502
0453284a-96ac-4c00-88d1-979aaefde382	Avalanche	yield-yak	DAI.e	529041	3.71	0.0	3.71	38	False	Stable/Up	70.0	0.610692844811864	0.566076066178779
ae2196d3-008e-4865-a784-52f1f9a03ad8	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0
79ea09be-3ad5-49a0-9946-fea2a195304a	Polygon	tetu	USDC	517378	0.0	5.11664	5.11664	26	False	Down	62.0	0.6601800234331111	0.6601800234331111
